time;x;y;z
2,235;-0,24;-0,40;-0,07
2,237;-0,29;-0,42;-0,06
2,239;-0,39;-0,43;-0,01
2,240;-0,45;-0,41;0,00
2,241;-0,48;-0,40;0,03
2,245;-0,53;-0,40;0,05
2,246;-0,57;-0,40;0,05
2,263;-0,59;-0,38;0,07
2,264;-0,60;-0,37;0,08
2,265;-0,60;-0,35;0,10
2,267;-0,60;-0,31;0,11
2,268;-0,59;-0,27;0,12
2,272;-0,59;-0,25;0,13
2,293;-0,57;-0,27;0,18
2,295;-0,54;-0,28;0,20
2,296;-0,53;-0,27;0,22
2,297;-0,48;-0,24;0,24
2,298;-0,43;-0,21;0,29
2,303;-0,32;-0,20;0,26
2,308;-0,25;-0,17;0,25
2,335;-0,20;-0,14;0,23
2,336;-0,13;-0,10;0,21
2,340;-0,06;-0,08;0,19
2,341;0,02;-0,03;0,20
2,342;0,08;0,01;0,16
2,344;0,14;0,06;0,15
2,346;0,20;0,15;0,12
2,366;0,21;0,21;0,12
2,368;0,22;0,26;0,13
2,369;0,23;0,32;0,15
2,370;0,21;0,35;0,17
2,371;0,20;0,39;0,18
2,373;0,20;0,42;0,20
2,393;0,18;0,46;0,21
2,394;0,14;0,49;0,22
2,397;0,11;0,49;0,22
2,398;0,09;0,45;0,22
2,399;0,07;0,40;0,20
2,403;0,07;0,34;0,19
2,408;0,07;0,27;0,17
2,432;0,08;0,21;0,14
2,433;0,09;0,16;0,10
2,434;0,10;0,12;0,03
2,435;0,10;0,12;0,00
2,436;0,09;0,12;-0,02
2,439;0,06;0,14;-0,05
2,462;0,01;0,15;-0,04
2,464;-0,04;0,19;-0,04
2,465;-0,10;0,21;-0,04
2,466;-0,18;0,25;-0,02
2,467;-0,34;0,33;0,05
2,468;-0,43;0,37;0,08
2,473;-0,50;0,42;0,11
2,493;-0,59;0,46;0,14
2,494;-0,69;0,52;0,17
2,496;-0,76;0,55;0,18
2,497;-0,82;0,57;0,20
2,498;-0,85;0,58;0,23
2,503;-0,83;0,53;0,23
2,510;-0,79;0,47;0,22
2,539;-0,72;0,40;0,20
2,541;-0,64;0,32;0,18
2,544;-0,52;0,22;0,12
2,545;-0,40;0,09;0,10
2,546;-0,25;-0,04;0,08
2,548;-0,10;-0,16;0,06
2,550;0,22;-0,36;0,05
2,551;0,37;-0,44;0,05
2,553;0,50;-0,47;0,03
2,577;0,59;-0,50;0,03
2,578;0,65;-0,47;0,03
2,579;0,67;-0,45;0,04
2,580;0,69;-0,39;0,05
2,581;0,65;-0,23;0,09
2,583;0,62;-0,13;0,12
2,588;0,55;-0,04;0,16
2,614;0,49;0,05;0,18
2,615;0,43;0,16;0,22
2,616;0,37;0,24;0,27
2,617;0,28;0,31;0,30
2,618;0,20;0,35;0,36
2,619;0,07;0,40;0,43
2,624;0,01;0,39;0,46
2,644;-0,05;0,38;0,50
2,645;-0,12;0,33;0,52
2,646;-0,17;0,28;0,53
2,647;-0,20;0,22;0,54
2,653;-0,25;0,14;0,55
2,654;-0,27;0,08;0,54
2,658;-0,29;-0,06;0,53
2,677;-0,28;-0,12;0,52
2,679;-0,27;-0,17;0,51
2,680;-0,26;-0,22;0,51
2,681;-0,25;-0,27;0,50
2,684;-0,21;-0,29;0,51
2,688;-0,17;-0,32;0,51
